Time (Seconds),Phase Error (ns),Frequency Error (ns/ns),Temperature (deg C),Regression,Residual,,Aging Factor (1/s),Temperature Dependence (1/degC),Offset
79104,1264.654231,1.46E-11,25.88365603,1.45551E-11,0.00E+00,,3.472E-16,-6E-11,1.46E-11
79114,1264.799979,1.46E-11,25.88350288,1.45678E-11,-7.11E-15,,,,
79124,1264.945926,1.46E-11,25.88335,1.45804E-11,-1.43E-14,,,,
79134,1265.092071,1.46E-11,25.88319738,1.4593E-11,-2.14E-14,,,,
79144,1265.238412,1.46E-11,25.88304503,1.46057E-11,-2.85E-14,,,,
79154,1265.384952,1.47E-11,25.88289295,1.46183E-11,-3.57E-14,,,,
79164,1265.531688,1.47E-11,25.88274113,1.46308E-11,-4.27E-14,,,,
79174,1265.678619,1.47E-11,25.88258958,1.46434E-11,-4.98E-14,,,,
79184,1265.825748,1.47E-11,25.88243829,1.46559E-11,-5.69E-14,,,,
79194,1265.973073,1.47E-11,25.88228727,1.46685E-11,-6.40E-14,,,,
79204,1266.120593,1.48E-11,25.88213651,1.4681E-11,-7.11E-14,,,,
79214,1266.268309,1.48E-11,25.88198602,1.46935E-11,-7.81E-14,,,,
79224,1266.41622,1.48E-11,25.88183578,1.4706E-11,-8.51E-14,,,,
79234,1266.564327,1.48E-11,25.88168581,1.47185E-11,-9.22E-14,,,,
79244,1266.712627,1.48E-11,25.8815361,1.47309E-11,-9.91E-14,,,,
79254,1266.861122,1.48E-11,25.88138666,1.47434E-11,-1.06E-13,,,,
79264,1267.009812,1.49E-11,25.88123747,1.47558E-11,-1.13E-13,,,,
79274,1267.158695,1.49E-11,25.88108855,1.47682E-11,-1.20E-13,,,,
79284,1267.307771,1.49E-11,25.88093989,1.47806E-11,-1.27E-13,,,,
79294,1267.457041,1.49E-11,25.88079149,1.47929E-11,-1.34E-13,,,,
79304,1267.606504,1.49E-11,25.88064334,1.48053E-11,-1.41E-13,,,,
79314,1267.75616,1.50E-11,25.88049546,1.48177E-11,-1.48E-13,,,,
79324,1267.906009,1.50E-11,25.88034784,1.483E-11,-1.55E-13,,,,
79334,1268.056049,1.50E-11,25.88020047,1.48423E-11,-1.62E-13,,,,
79344,1268.206282,1.50E-11,25.88005337,1.48546E-11,-1.69E-13,,,,
79354,1268.356706,1.50E-11,25.87990652,1.48669E-11,-1.76E-13,,,,
79364,1268.507321,1.51E-11,25.87975993,1.48791E-11,-1.82E-13,,,,
79374,1268.658128,1.51E-11,25.87961359,1.48914E-11,-1.89E-13,,,,
79384,1268.809126,1.51E-11,25.87946751,1.49036E-11,-1.96E-13,,,,
79394,1268.960314,1.51E-11,25.87932169,1.49159E-11,-2.03E-13,,,,
79404.5,1269.119266,1.51E-11,25.87916885,1.49287E-11,-2.10E-13,,,,
79414.5,1269.270844,1.52E-11,25.87902356,1.49409E-11,-2.17E-13,,,,
79424.5,1269.422612,1.52E-11,25.87887852,1.4953E-11,-2.24E-13,,,,
79434.5,1269.574569,1.52E-11,25.87873373,1.49652E-11,-2.30E-13,,,,
79444.5,1269.726716,1.52E-11,25.87858919,1.49773E-11,-2.37E-13,,,,
79454.5,1269.879051,1.52E-11,25.87844492,1.49895E-11,-2.44E-13,,,,
79464.5,1270.031575,1.53E-11,25.87830089,1.50016E-11,-2.51E-13,,,,
79474.5,1270.184288,1.53E-11,25.87815712,1.50137E-11,-2.58E-13,,,,
79484.5,1270.337188,1.53E-11,25.8780136,1.50258E-11,-2.64E-13,,,,
79494.5,1270.490276,1.53E-11,25.87787033,1.50378E-11,-2.71E-13,,,,
79504.5,1270.643553,1.53E-11,25.87772731,1.50499E-11,-2.78E-13,,,,
79514.5,1270.797015,1.53E-11,25.87758455,1.50619E-11,-2.84E-13,,,,
79524.5,1270.950666,1.54E-11,25.87744203,1.50739E-11,-2.91E-13,,,,
79534.5,1271.104502,1.54E-11,25.87729977,1.5086E-11,-2.98E-13,,,,
79544.5,1271.258526,1.54E-11,25.87715776,1.50979E-11,-3.04E-13,,,,
79554.5,1271.412735,1.54E-11,25.877016,1.51099E-11,-3.11E-13,,,,
79564.5,1271.567131,1.54E-11,25.87687448,1.51219E-11,-3.18E-13,,,,
79574.5,1271.721711,1.55E-11,25.87673322,1.51338E-11,-3.24E-13,,,,
79584.5,1271.876478,1.55E-11,25.8765922,1.51458E-11,-3.31E-13,,,,
79594.5,1272.031429,1.55E-11,25.87645144,1.51577E-11,-3.37E-13,,,,
79604.5,1272.186565,1.55E-11,25.87631092,1.51696E-11,-3.44E-13,,,,
79614.5,1272.341886,1.55E-11,25.87617064,1.51815E-11,-3.51E-13,,,,
79624.5,1272.497391,1.56E-11,25.87603062,1.51934E-11,-3.57E-13,,,,
79634.5,1272.653079,1.56E-11,25.87589084,1.52052E-11,-3.64E-13,,,,
79644.5,1272.808952,1.56E-11,25.87575131,1.52171E-11,-3.70E-13,,,,
79654.5,1272.965008,1.56E-11,25.87561202,1.52289E-11,-3.77E-13,,,,
79664.5,1273.121247,1.56E-11,25.87547298,1.52407E-11,-3.83E-13,,,,
79674.5,1273.277669,1.56E-11,25.87533419,1.52525E-11,-3.90E-13,,,,
79684.5,1273.434273,1.57E-11,25.87519564,1.52643E-11,-3.96E-13,,,,
79694.5,1273.59106,1.57E-11,25.87505733,1.52761E-11,-4.03E-13,,,,
79704.5,1273.748028,1.57E-11,25.87491927,1.52878E-11,-4.09E-13,,,,
79714.5,1273.905178,1.57E-11,25.87478145,1.52995E-11,-4.15E-13,,,,
79724.5,1274.06251,1.57E-11,25.87464387,1.53113E-11,-4.22E-13,,,,
79734.5,1274.220023,1.58E-11,25.87450654,1.5323E-11,-4.28E-13,,,,
79744.5,1274.377717,1.58E-11,25.87436945,1.53347E-11,-4.35E-13,,,,
79754.5,1274.535591,1.58E-11,25.8742326,1.53464E-11,-4.41E-13,,,,
79764.5,1274.693646,1.58E-11,25.87409599,1.5358E-11,-4.47E-13,,,,
79774.5,1274.851881,1.58E-11,25.87395963,1.53697E-11,-4.54E-13,,,,
79784.5,1275.010295,1.58E-11,25.8738235,1.53813E-11,-4.60E-13,,,,
79794.5,1275.168889,1.59E-11,25.87368762,1.5393E-11,-4.66E-13,,,,
79804.5,1275.327662,1.59E-11,25.87355197,1.54046E-11,-4.73E-13,,,,
79814.5,1275.486615,1.59E-11,25.87341656,1.54162E-11,-4.79E-13,,,,
79824.5,1275.645745,1.59E-11,25.8732814,1.54277E-11,-4.85E-13,,,,
79834.5,1275.805054,1.59E-11,25.87314647,1.54393E-11,-4.92E-13,,,,
79844.5,1275.964541,1.59E-11,25.87301178,1.54509E-11,-4.98E-13,,,,
79854.5,1276.124206,1.60E-11,25.87287733,1.54624E-11,-5.04E-13,,,,
79864.5,1276.284049,1.60E-11,25.87274311,1.54739E-11,-5.10E-13,,,,
79874.5,1276.444069,1.60E-11,25.87260914,1.54854E-11,-5.17E-13,,,,
79884.5,1276.604266,1.60E-11,25.8724754,1.54969E-11,-5.23E-13,,,,
79894.5,1276.764638,1.60E-11,25.87234189,1.55084E-11,-5.29E-13,,,,
79904.5,1276.925189,1.61E-11,25.87220863,1.55199E-11,-5.35E-13,,,,
79914.5,1277.085915,1.61E-11,25.87207559,1.55313E-11,-5.41E-13,,,,
79924.5,1277.246816,1.61E-11,25.8719428,1.55428E-11,-5.47E-13,,,,
79934.5,1277.407893,1.61E-11,25.87181023,1.55542E-11,-5.53E-13,,,,
79944.5,1277.569146,1.61E-11,25.87167791,1.55656E-11,-5.60E-13,,,,
79954.5,1277.730573,1.61E-11,25.87154581,1.5577E-11,-5.66E-13,,,,
79964.5,1277.892176,1.62E-11,25.87141395,1.55884E-11,-5.72E-13,,,,
79974.5,1278.053952,1.62E-11,25.87128232,1.55998E-11,-5.78E-13,,,,
79984.5,1278.215903,1.62E-11,25.87115093,1.56111E-11,-5.84E-13,,,,
79994.5,1278.378028,1.62E-11,25.87101977,1.56225E-11,-5.90E-13,,,,
80004.5,1278.540326,1.62E-11,25.87088884,1.56338E-11,-5.96E-13,,,,
80014.5,1278.702797,1.62E-11,25.87075814,1.56451E-11,-6.02E-13,,,,
80024.5,1278.865442,1.63E-11,25.87062767,1.56564E-11,-6.08E-13,,,,
80034.5,1279.02826,1.63E-11,25.87049744,1.56677E-11,-6.14E-13,,,,
80044.5,1279.191249,1.63E-11,25.87036743,1.5679E-11,-6.20E-13,,,,
